Target City,Total Weight (Tons)
LE PORT BOULET,207.0
LE POUZIN,436.0
LE TEIL,68.0
LE TERTRE ST DENIS,24.0
LE TOUQUET,517.0
LE TRAIT,41.0
LE TREPORT,256.0
LE TROUQUET,8.0
LE VIVIER,174.0
LEGE,84.0
LEGRISMONT,405.0
LENS,3053.0
LES BUISSONS,135.0
LES CATELLIERS,630.0
LES CERISES,72.0
LES CHANOINES,381.0
LES DUNES DE VARREV,56.0
LES FOULON,86.0
LES GRANDS BOIS,499.0
LES HAYONS,447.0
LES LANDES VILLE NEU,201.0
LES LOGES,154.0
LES PETITS,158.0
LES PONTS DE CE,358.0
LESSAY,426.0
LEVENS,266.0
LIGESCOURT,1213.0
LILLE,6672.0
LIMAY,26.0
LIMOGES,467.0
LINGHEM,596.0
LINZEUX,382.0
LISIEUX,2043.0
LISON,25.0
LISSIEU,20.0
LIVAROT,1245.0
LIVOSSART,152.0
LIVRON,72.0
LOLTINGHEM,738.0
LONGEAVOUS,60.0
LONGEVILLE,552.0
LONGUEMONT,54.0
LONGUES,1003.0
LONQUENESSE,6.0
LORIENT,7375.0
LOSTEBARNE,60.0
LOTTINGHEM,166.0
LOUVIERS,267.0
LOYES,72.0
LUMBRES,6.0
LUNEL,68.0
LUNEVILLE,15.0
LUPE,696.0
LUXEUIL LES BAINS,95.0
LYON,3431.0
MAILLY LE CAMP,1911.0
MAINTENON,1327.0
MAISONCELLES,248.0
MAISONS LAFFITTE,732.0
MAIZY,1118.0
MALO LES BAINS,312.0
MAMERS,22.0
MANTES,2581.0
MANVILLIERS,62.0
MARCK,165.0
MARDYCK,564.0
MARGUENNEVILLE,158.0
MARIGNANC,256.0
MARIGNY,370.0
MARMEGEN,30.0
MARNE,2.0
MARQUENNEVILLE,144.0
MARQUISE,4870.0
MARRE,96.0
MARSEILLE LE PETIT,84.0
MARSEILLES,2423.0
MARTINVAST,758.0
MASSAY,1726.0
MAYENNE,464.0
MAZINGARBE,536.0
MEAULTE,1190.0
MECHESHEIM,16.0
MEDARD SURILLE,48.0
MELUN,2778.0
MEOBECK,102.0
MEREY,356.0
MERKWILLER,524.0
MERLIMONT,954.0
MERVILLE,2603.0
MERY,467.0
MESNIL AU VAL,405.0
METZ,12161.0
MEULAN,1187.0
MEYENVILLE,62.0
MEZIDON,247.0
MEZIERES,770.0
MIAVAYE,22.0
MIDDEL STRAETE,156.0
MIESERY,23.0
MIMOYECQUES,1932.0
MIRAMAS,531.0
MIRVILLE,120.0
MODANE,2033.0
MONACO,40.0
MONCHY,458.0
MONDEVILLE,1233.0
MONT CAUVAIRE,85.0
MONT DE MARSAN,406.0
MONT FLEURY,604.0
MONT LOUIS,436.0
MONT SUR RISIE,92.0
MONTAUBAN,136.0
MONTBARTIER,544.0
MONTBELIARD,433.0
MONTDIDIER,2106.0
MONTEBOURG,0.0
MONTELIMAR,216.0
MONTEREAU,208.0
MONTFALCON,216.0
MONTFARVILLE,122.0
MONTFORT,23.0
MONTFORT SUR MEU,362.0
MONTHOIS,98.0
MONTIGNY SUR SANCER,199.0
MONTLUCON,1137.0
MONTORGUEIL,184.0
MONTPELLIER,1780.0
MONTREUIL,1683.0
MONTREVEL,132.0
MONTRICHARD,201.0
MONTSECRET,136.0
MORLAIX,56.0
MORSALINES,767.0
MOURMELON LE PETIT,627.0
MOYENNEVILLE,477.0
MUHLHAUSEN,898.0
NANCY,1861.0
NANTERRE,136.0
NANTES,5549.0
NANTEUIL,349.0
NASSANDRES,190.0
NAY,136.0
NEGRE CAPE,102.0
NESLE,168.0
NEUFCHATEL,1073.0
NEUVILLE,54.0
NEUVY SUR LOIRE,340.0
NEVERS,520.0
NEVILLE,81.0
NICE,1017.0
NIEDERBRONN,222.0
NIMES,663.0
NIORT,58.0
NIVILLERS,272.0
NOGENT,369.0
NOGENT L ARTAUD,180.0
NOGENT LE ROI,386.0
NOGENT LE ROTROU,99.0
NONANCOURT,102.0
NORD,321.0
NOTRE DAME,313.0
NOYELLE EN CHAUSSEE,560.0
NOYEN,16.0
NOYON,69.0
NUCOURT,3248.0
NUNCO,189.0
NUNCQ,9.0
OCTEVILLE,165.0
OISEME,144.0
OISEMONT,3495.0
OISSEL,898.0
OISSEN,186.0
ORANGE,247.0
ORELLE,80.0
ORIVAL,484.0
ORLEANS,7582.0
ORLY,2366.0
OSSUN,108.0
OUFFIERES,80.0
OUISTREHAM,717.0
PACY SUR EURE,554.0
PARIS,8886.0
PARVILLE,23.0
PAS DE CALAIS,8738.0
PAU,174.0
PAUILLAC,22.0
PDNT ST ESPRIT,223.0
PERIERS,366.0
PERONNE,954.0
PERTHES,858.0
PETIT BOIS TILLENCO,60.0
PLAGE ST GABRIEL,228.0
PLANCHES,23.0
PLEURTUIT,261.0
PLOERMEL,289.0
POINT DE LA COUBRE,1788.0
POINTE DE GRAVE,3798.0
POINTE DES ESPAGNOL,56.0
POINTES DES TRAYAS,36.0
POISSY,689.0
POITIERS,530.0
POIX,1920.0
POMEGUES ISLAND,144.0
POMERANIAN,80.0
POMMEREVAL,677.0
POMPEY,72.0
PON LONG,174.0
PONT A VENDIN,48.0
PONT AUDEMER,306.0
PONT AUTHOU,268.0
PONT BERNEVAL,72.0
PONT D AIN,66.0
PONT L EVEQUE,419.0
PONT ST ESPRIT,80.0
PONTDUBAULT,2018.0
PONTOISE,252.0
PORCARO,23.0
PORQUEROLLES,462.0
PORT EN BESSIN,381.0
PORTES LES ST QUEN,328.0
PORTES LES VALENCES,502.0
PREDEFIN,411.0
PREUSEVILLE,814.0
PROUVILLE,135.0
PT DE LA GOUBRE,108.0
QUEND,112.0
QUERRIEU,312.0
QUILLEBEUF,81.0
QUINEAMPOIX,156.0
QUINEVILLE,363.0
RATENNEAU ISLAND,168.0
RECQUES SUR COURES,138.0
REDON,114.0
REGNAUVILLE,184.0
REGNEVILLE,444.0
